"","HOUR","ID","SITE","DayNum","DATE","TIME","BEG","Date_Banded","Colony_Site_Banded","count","date.diff"
"243",10,"RD-W09","PRPN",16,2015-08-08,"10:25",0,2015-06-17,"SNME",149,52
"244",10,"RD-J70","PRPN",16,2015-08-08,"10:16",0,2015-06-29,"JYME",149,40
"245",10,"DB-S52","PHH",31,2015-08-23,"10:10",0,2015-06-27,"GGNY",149,57
"246",10,"RD-S62","CNB",23,2015-08-15,"10:10",6,2015-06-24,"SYNH",149,52
"247",10,"DB-W23","CNB",40,2015-09-01,"10:46",0,2015-06-30,"GGNY",149,63
"248",10,"RD-L24","PRPN",16,2015-08-08,"10:03",2,2015-07-10,"TBNS",149,29
"249",10,"DB-R88","CNB",37,2015-08-29,"10:18",1,2015-06-26,"GGNY",149,64
"250",10,"DB-Y27","CNB",40,2015-09-01,"10:22",0,2015-06-20,"GGNY",149,73
"251",10,"RD-L12","PHH",59,2015-09-20,"10:05",0,2015-07-10,"TBNS",149,72
"252",10,"DB-W50","CNB",27,2015-08-19,"10:57",7,2015-06-30,"GGNY",149,50
"253",10,"YL-E08","PHH",1,2015-07-24,"10:07",8,2015-07-01,"SYNH",149,23
"254",10,"RD-U33","CNB",37,2015-08-29,"10:24",12,2015-06-22,"EEME",149,68
"255",10,"RD-U33","CNB",40,2015-09-01,"10:30",2,2015-06-22,"EEME",149,71
"256",10,"RD-U39","PHH",59,2015-09-20,"10:00",0,2015-06-25,"EEME",149,87
"257",10,"RD-V36","PRPN",4,2015-07-27,"10:13",0,2015-06-25,"SNME",149,32
"258",10,"DB-L43","CNB",27,2015-08-19,"10:44",0,2015-06-20,"GGNY",149,60
"259",10,"RD-U89","PHH",31,2015-08-23,"10:26",0,2015-06-29,"EEME",149,55
"260",10,"RD-S51","PRPN",16,2015-08-08,"10:43",0,2015-06-24,"SYNH",149,45
"261",10,"RD-U39","PHH",31,2015-08-23,"10:51",0,2015-06-25,"EEME",149,59
"262",10,"DB-P22","CNB",27,2015-08-19,"10:44",1,2015-06-26,"GGNY",149,54
"263",10,"DB-W90","PHH",59,2015-09-20,"10:31",1,2015-06-29,"GGNY",149,83
"264",10,"RD-W01","PHH",3,2015-07-26,"10:17",4,2015-06-17,"SNME",149,39
"265",11,"DB-R84","PHH",33,2015-08-25,"11:29",0,2015-06-26,"GGNY",93,60
"266",11,"DB-R84","PWE",44,2015-09-05,"11:39",0,2015-06-26,"GGNY",93,71
