,ID,DayNum,DATE,Date_Banded,date.diff
299,YL-B46,42,9/3/2015,7/10/2015,55
300,YL-E18,45,9/6/2015,7/24/2015,44
301,DB-R61,9,8/1/2015,6/25/2015,37
302,RD-W17,33,8/25/2015,6/19/2015,67
303,DB-W82,27,8/19/2015,6/29/2015,51
304,RD-V45,33,8/25/2015,6/26/2015,60
305,DB-X44,27,8/19/2015,6/24/2015,56
306,DB-P44,9,8/1/2015,6/26/2015,36
307,DB-F23,31,8/23/2015,6/25/2015,59
308,DB-Y22,33,8/25/2015,6/20/2015,66
309,DB-T58,16,8/8/2015,6/26/2015,43
310,DB-P13,27,8/19/2015,6/25/2015,55
311,DB-U53,42,9/3/2015,7/1/2015,64
313,DB-R08,48,9/9/2015,6/23/2015,78
314,RD-S06,41,9/2/2014,6/27/2014,67
315,RD-W06,4,7/27/2015,6/17/2015,40
316,DB-X46,44,9/5/2015,6/24/2015,73
317,RD-L15,31,8/23/2015,7/10/2015,44
318,RD-S53,33,8/25/2015,6/24/2015,62
319,RD-W09,33,8/25/2015,6/17/2015,69
320,DB-X29,27,8/19/2015,6/24/2015,56
321,DB-T32,42,9/3/2015,6/27/2015,68
322,RD-V20,33,8/25/2015,6/24/2015,62
323,RD-U67,33,8/25/2015,6/27/2015,59
324,RD-W87,16,8/8/2015,6/24/2015,45
325,RD-S76,42,9/3/2015,6/25/2015,70
326,DB-Z10,42,9/3/2015,7/3/2015,62
327,RD-W86,9,8/1/2015,6/24/2015,38
329,RD-X38,33,8/25/2015,7/5/2015,51
330,DB-X65,33,8/25/2015,6/24/2015,62
331,DB-Y57,44,9/5/2015,6/23/2015,74
332,YL-E14,33,8/25/2015,7/17/2015,39
334,RD-L29,33,8/25/2015,7/10/2015,46
335,RD-V24,33,8/25/2015,6/25/2015,61
336,DB-W82,35,8/27/2015,6/29/2015,59
337,RD-S81,35,8/27/2015,6/26/2015,62
338,DB-Y90,33,8/25/2015,6/25/2015,61
339,RD-V21,35,8/27/2015,6/25/2015,63
340,RD-W09,35,8/27/2015,6/17/2015,71
341,DB-S68,35,8/27/2015,6/29/2015,59
342,DB-T22,33,8/25/2015,6/27/2015,59
343,RD-W69,33,8/25/2015,6/22/2015,64
344,DB-P76,44,9/5/2015,6/26/2015,71
345,DB-X03,35,8/27/2015,6/22/2015,66
346,DB-L51,35,8/27/2015,6/20/2015,68
347,DB-L57,33,8/25/2015,6/22/2015,64
348,DB-R02,33,8/25/2015,6/23/2015,63
349,DB-T13,33,8/25/2015,6/26/2015,60
350,DB-W82,35,8/27/2015,6/29/2015,59
351,DB-Z26,35,8/27/2015,7/17/2015,41
352,DB-U69,35,8/27/2015,7/1/2015,57
353,RD-W61,33,8/25/2015,6/22/2015,64
354,RD-W76,33,8/25/2015,6/22/2015,64
355,DB-X65,35,8/27/2015,6/24/2015,64
356,RD-Y35,35,8/27/2015,7/10/2015,48
357,DB-W51,17,8/9/2015,6/27/2015,43
358,DB-S74,35,8/27/2015,6/29/2015,59
359,RD-J73,47,9/8/2015,7/3/2015,67
360,DB-P12,17,8/9/2015,6/25/2015,45
361,RD-V04,35,8/27/2015,6/24/2015,64
362,RD-W39,4,7/27/2015,6/22/2015,35
363,YL-E15,33,8/25/2015,7/17/2015,39
364,DB-S03,47,9/8/2015,6/26/2015,74
365,RD-W61,4,7/27/2015,6/22/2015,35
366,DB-Y06,47,9/8/2015,6/18/2015,82
367,DB-L40,25,8/17/2015,6/20/2015,58
368,DB-S22,33,8/25/2015,6/27/2015,59
369,RD-W18,35,8/27/2015,6/19/2015,69
370,RD-S83,35,8/27/2015,6/26/2015,62
371,DB-Y54,35,8/27/2015,6/23/2015,65
372,RD-S59,35,8/27/2015,6/24/2015,64
373,RD-S60,33,8/25/2015,6/24/2015,62
374,RD-S89,17,8/9/2015,6/26/2015,44
375,DB-T74,47,9/8/2015,6/27/2015,73
376,RD-L24,35,8/27/2015,7/10/2015,48
378,DB-L18,35,8/27/2015,6/18/2015,70
379,DB-P04,35,8/27/2015,6/25/2015,63
380,RD-X38,35,8/27/2015,7/5/2015,53
381,RD-U39,47,9/8/2015,6/25/2015,75
382,DB-R61,35,8/27/2015,6/25/2015,63
383,RD-U46,35,8/27/2015,6/25/2015,63
384,DB-R86,35,8/27/2015,6/26/2015,62
386,DB-P95,35,8/27/2015,6/26/2015,62
387,RD-U99,47,9/8/2015,6/29/2015,71
388,DB-P97,47,9/8/2015,6/26/2015,74
389,DB-X54,35,8/27/2015,6/23/2015,65
390,DB-T13,35,8/27/2015,6/26/2015,62
391,DB-R26,56,9/17/2015,6/24/2015,85
392,DB-W13,47,9/8/2015,6/30/2015,70
393,YL-F56,47,9/8/2015,7/13/2015,57
394,RD-L27,47,9/8/2015,7/10/2015,60
395,DB-T46,47,9/8/2015,6/27/2015,73
396,DB-Y70,47,9/8/2015,6/24/2015,76
397,DB-R61,47,9/8/2015,6/25/2015,75
398,RD-L32,47,9/8/2015,7/10/2015,60
399,YL-E19,35,8/27/2015,7/24/2015,34
400,RD-W96,35,8/27/2015,6/24/2015,64
401,YL-B66,47,9/8/2015,7/10/2015,60
402,DB-T60,56,9/17/2015,6/26/2015,83
403,DB-R84,47,9/8/2015,6/26/2015,74
404,DB-R06,47,9/8/2015,6/23/2015,77
405,RD-S54,47,9/8/2015,6/24/2015,76
406,DB-L51,47,9/8/2015,6/20/2015,80
407,RD-W15,47,9/8/2015,6/19/2015,81
408,RD-V69,56,9/17/2015,6/27/2015,82
409,RD-X48,56,9/17/2015,7/11/2015,68
410,DB-U69,47,9/8/2015,7/1/2015,69
411,RD-J72,47,9/8/2015,7/2/2015,68
412,RD-X34,47,9/8/2015,6/24/2015,76
413,RD-S93,47,9/8/2015,6/27/2015,73
414,RD-V67,31,8/23/2015,6/27/2015,57
415,YL-E08,47,9/8/2015,7/1/2015,69
416,RD-S98,47,9/8/2015,6/27/2015,73
417,RD-W28,47,9/8/2015,6/19/2015,81
418,RD-X23,47,9/8/2015,7/3/2015,67
419,DB-U91,47,9/8/2015,7/2/2015,68
420,DB-S60,22,8/14/2015,6/27/2015,48
421,RD-W38,47,9/8/2015,6/20/2015,80
422,DB-S71,47,9/8/2015,6/29/2015,71
423,RD-V75,47,9/8/2015,6/27/2015,73
424,RD-W86,47,9/8/2015,6/24/2015,76
425,RD-W24,47,9/8/2015,6/19/2015,81
426,RD-T99,31,8/23/2015,6/16/2015,68
427,DB-T22,47,9/8/2015,6/27/2015,73
428,RD-S55,47,9/8/2015,6/24/2015,76
429,RD-U21,47,9/8/2015,6/19/2015,81
430,RD-S81,47,9/8/2015,6/26/2015,74
431,RD-V75,22,8/14/2015,6/27/2015,48
432,DB-U19,47,9/8/2015,7/1/2015,69
433,DB-P35,47,9/8/2015,6/26/2015,74
434,RD-Y38,47,9/8/2015,7/10/2015,60
435,DB-P95,47,9/8/2015,6/26/2015,74
436,DB-L40,8,7/31/2015,6/20/2015,41
437,DB-W44,30,8/22/2015,6/30/2015,53
438,RD-J98,47,9/8/2015,6/23/2015,77
440,DB-F20,7,7/30/2015,6/17/2015,43
441,YL-E08,24,8/16/2015,7/1/2015,46
442,RD-S81,40,9/1/2015,6/26/2015,67
443,DB-S20,40,9/1/2015,6/27/2015,66
444,RD-V20,16,8/8/2015,6/24/2015,45
445,DB-Y24,40,9/1/2015,6/20/2015,73
446,RD-W38,30,8/22/2015,6/20/2015,63
447,RD-W39,37,8/29/2015,6/22/2015,68
448,DB-L87,21,8/13/2015,6/22/2015,52
449,DB-F28,21,8/13/2015,6/25/2015,49
450,DB-F28,40,9/1/2015,6/25/2015,68
451,DB-S60,21,8/13/2015,6/27/2015,47
452,DB-Y49,28,8/20/2015,6/23/2015,58
453,RD-S89,16,8/8/2015,6/26/2015,43
454,DB-T80,37,8/29/2015,6/27/2015,63
455,DB-P05,40,9/1/2015,6/25/2015,68
456,DB-R30,21,8/13/2015,6/24/2015,50
457,YL-F24,28,8/20/2015,6/19/2015,62
458,DB-R02,37,8/29/2015,6/23/2015,67
459,DB-Y74,21,8/13/2015,6/24/2015,50
460,RD-W61,21,8/13/2015,6/22/2015,52
461,DB-S89,37,8/29/2015,6/30/2015,60
462,DB-Y82,7,7/30/2015,6/24/2015,36
463,DB-T01,14,8/6/2015,6/26/2015,41
464,DB-X30,40,9/1/2015,6/24/2015,69
466,RD-V20,14,8/6/2015,6/24/2015,43
467,DB-R96,40,9/1/2015,6/26/2015,67
468,RD-S83,40,9/1/2015,6/26/2015,67
469,RD-W95,21,8/13/2015,6/24/2015,50
470,DB-W53,40,9/1/2015,6/27/2015,66
471,DB-L52,28,8/20/2015,6/20/2015,61
472,RD-T99,5,7/28/2015,6/16/2015,42
473,RD-L28,21,8/13/2015,7/10/2015,34
474,DB-T81,24,8/16/2015,6/27/2015,50
475,DB-T70,21,8/13/2015,6/27/2015,47
476,YL-F38,28,8/20/2015,6/25/2015,56
477,RD-J64,24,8/16/2015,6/25/2015,52
478,DB-R54,14,8/6/2015,6/25/2015,42
479,DB-Y74,14,8/6/2015,6/24/2015,43
480,RD-S71,11,8/3/2015,6/25/2015,39
481,DB-U82,37,8/29/2015,7/2/2015,58
482,RD-U46,58,9/19/2015,6/25/2015,86
483,DB-T77,21,8/13/2015,6/27/2015,47
484,DB-Y00,37,8/29/2015,6/25/2015,65
485,RD-S57,21,8/13/2015,6/24/2015,50
486,DB-S74,37,8/29/2015,6/29/2015,61
487,RD-S83,21,8/13/2015,6/26/2015,48
488,DB-T60,28,8/20/2015,6/26/2015,55
489,RD-J71,11,8/3/2015,6/29/2015,35
490,DB-P09,11,8/3/2015,6/25/2015,39
491,RD-V61,40,9/1/2015,6/27/2015,66
492,DB-L42,37,8/29/2015,6/20/2015,70
493,RD-U96,37,8/29/2015,6/29/2015,61
